trial_id,scenario,traffic_multiplier,corridor,vehicle_id,vehicle_name,battery_capacity,efficiency,start_soc,time_mode,traffic_level,route_length,greedy_success,greedy_trip_time,greedy_charging_cost,greedy_stops,greedy_distance,greedy_status,cheapest_success,cheapest_trip_time,cheapest_charging_cost,cheapest_stops,cheapest_distance,cheapest_status,fastest_success,fastest_trip_time,fastest_charging_cost,fastest_stops,fastest_distance,fastest_status,smart_success,smart_trip_time,smart_charging_cost,smart_stops,smart_distance,smart_status,ml_smart_success,ml_smart_trip_time,ml_smart_charging_cost,ml_smart_stops,ml_smart_distance,ml_smart_status,ablation_dist_success,ablation_dist_trip_time,ablation_dist_charging_cost,ablation_dist_stops,ablation_dist_distance,ablation_dist_status,ablation_dist_traffic_success,ablation_dist_traffic_trip_time,ablation_dist_traffic_charging_cost,ablation_dist_traffic_stops,ablation_dist_traffic_distance,ablation_dist_traffic_status,ablation_dist_traffic_price_success,ablation_dist_traffic_price_trip_time,ablation_dist_traffic_price_charging_cost,ablation_dist_traffic_price_stops,ablation_dist_traffic_price_distance,ablation_dist_traffic_price_status
568,Normal,1.0,Delhi-Jaipur,byd_atto3,BYD Atto 3,60.48,5.4,76.4,peak,8,285.8,1,416.0,435.0,4.0,333.36820371119916,ok,1,385.0,320.0,1.0,285.8577943692712,ok,1,288.0,379.0,2.0,316.95467335680917,ok,1,263.0,323.0,1.0,307.650109117278,ok,1,263.0,323.0,1.0,307.650109117278,ok,1,385.0,320.0,1.0,285.8577943692712,ok,1,385.0,320.0,1.0,285.8577943692712,ok,1,385.0,320.0,1.0,285.8577943692712,ok
569,Normal,1.0,Delhi-Jaipur,tata_nexon,Tata Nexon EV Max,40.5,5.5,74.1,normal,6,285.8,1,386.0,609.0,6.0,336.23170527569556,ok,1,364.0,477.0,3.0,325.8652099838064,ok,1,318.0,510.0,3.0,303.6633723569006,ok,1,330.0,497.0,3.0,310.5136106817745,ok,1,330.0,497.0,3.0,310.5136106817745,ok,1,326.0,446.0,2.0,307.7079034865492,ok,1,326.0,446.0,2.0,307.7079034865492,ok,1,326.0,446.0,2.0,307.7079034865492,ok
570,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,74.8,normal,1,285.8,1,361.0,622.0,6.0,336.23170527569556,ok,1,351.0,489.0,3.0,325.8652099838064,ok,1,296.0,521.0,3.0,303.6633723569006,ok,1,306.0,508.0,3.0,310.5136106817745,ok,1,306.0,508.0,3.0,310.5136106817745,ok,1,310.0,456.0,2.0,307.7079034865492,ok,1,310.0,456.0,2.0,307.7079034865492,ok,1,310.0,456.0,2.0,307.7079034865492,ok
571,Normal,1.0,Delhi-Jaipur,mercedes_eqa,Mercedes EQA,66.5,4.8,87.4,normal,3,285.8,1,296.0,330.0,3.0,324.063639471668,ok,1,290.0,279.0,1.0,285.8577943692712,ok,1,264.0,417.0,2.0,303.60557798762943,ok,1,238.0,362.0,1.0,288.60570719522525,ok,1,238.0,362.0,1.0,288.60570719522525,ok,1,290.0,279.0,1.0,285.8577943692712,ok,1,290.0,279.0,1.0,285.8577943692712,ok,1,290.0,279.0,1.0,285.8577943692712,ok
572,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,84.5,peak,1,285.8,1,373.0,546.0,6.0,336.23170527569556,ok,1,354.0,444.0,3.0,325.8652099838064,ok,1,291.0,457.0,3.0,303.6633723569006,ok,1,316.0,452.0,3.0,310.5136106817745,ok,1,316.0,452.0,3.0,310.5136106817745,ok,1,320.0,400.0,2.0,307.7079034865492,ok,1,320.0,400.0,2.0,307.7079034865492,ok,1,320.0,400.0,2.0,307.7079034865492,ok
573,Normal,1.0,Delhi-Jaipur,mercedes_eqa,Mercedes EQA,66.5,4.8,80.0,night,4,285.8,1,317.0,439.0,4.0,333.36820371119916,ok,1,304.0,333.0,1.0,285.8577943692712,ok,1,265.0,501.0,2.0,303.60557798762943,ok,1,241.0,440.0,1.0,288.60570719522525,ok,1,241.0,440.0,1.0,288.60570719522525,ok,1,304.0,333.0,1.0,285.8577943692712,ok,1,304.0,333.0,1.0,285.8577943692712,ok,1,304.0,333.0,1.0,285.8577943692712,ok
574,Normal,1.0,Delhi-Jaipur,bmw_ix1,BMW iX1,66.5,5.0,82.1,normal,8,285.8,1,316.0,395.0,4.0,333.36820371119916,ok,1,297.0,305.0,1.0,285.8577943692712,ok,1,283.0,355.0,2.0,322.6499799096822,ok,1,259.0,293.0,1.0,307.650109117278,ok,1,245.0,401.0,1.0,288.60570719522525,ok,1,297.0,305.0,1.0,285.8577943692712,ok,1,297.0,305.0,1.0,285.8577943692712,ok,1,297.0,305.0,1.0,285.8577943692712,ok
575,Normal,1.0,Delhi-Jaipur,mg_zs,MG ZS EV,50.3,5.2,80.8,normal,4,285.8,1,347.0,550.0,5.0,336.1739109064244,ok,1,296.0,303.0,1.0,285.8577943692712,ok,1,274.0,442.0,2.0,297.9102714347564,ok,1,254.0,400.0,1.0,288.60570719522525,ok,1,254.0,400.0,1.0,288.60570719522525,ok,1,296.0,303.0,1.0,285.8577943692712,ok,1,296.0,303.0,1.0,285.8577943692712,ok,1,296.0,303.0,1.0,285.8577943692712,ok
576,Normal,1.0,Delhi-Jaipur,kia_ev6,Kia EV6,77.4,5.6,70.2,peak,5,285.8,1,237.0,225.0,1.0,295.10456423953116,ok,1,388.0,369.0,1.0,285.8577943692712,ok,1,246.0,281.0,1.0,300.7998707924042,ok,1,240.0,499.0,1.0,288.60570719522525,ok,1,240.0,499.0,1.0,288.60570719522525,ok,1,388.0,369.0,1.0,285.8577943692712,ok,1,240.0,499.0,1.0,288.60570719522525,ok,1,240.0,499.0,1.0,288.60570719522525,ok
577,Normal,1.0,Delhi-Jaipur,citroen_ec3,Citroën eC3,29.2,6.5,81.7,normal,5,285.8,1,502.0,786.0,7.0,336.4674410982821,ok,1,472.0,695.0,4.0,326.10094580639293,ok,1,435.0,710.0,4.0,303.89910817948714,ok,1,445.0,705.0,4.0,310.74934650436103,ok,1,445.0,705.0,4.0,310.74934650436103,ok,1,438.0,662.0,3.0,307.94363930913573,ok,1,445.0,705.0,4.0,310.74934650436103,ok,1,445.0,705.0,4.0,310.74934650436103,ok
